SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
123173,12,1,1,8.33333333333333,8.33333333333333,76.96,79.027027027027,1,,0,171,133,77.78,,,0
123194,12,4,3,33.3333333333333,25,64.7333333333333,57.6,1,,0,171,99,57.89,,,0
123331,12,0,0,0,0,92,93.0526315789474,1,,0,167,159,95.21,,,0
123661,12,3,3,25,25,56,60.8,1,,0,151,115,76.16,,,0
123776,12,0,0,0,0,91.7142857142857,89.1578947368421,1,,0,162,153,94.44,,,0
123794,12,0,0,0,0,94.24,95.7837837837838,1,,0,168,146,86.9,,,0
123814,12,3,3,25,25,60,56.2105263157895,1,,0,162,115,70.99,,,0
123855,37,22,22,59.4594594594595,59.4594594594595,70.8571428571429,73.3684210526316,1,1,1,324,256,79.01,Others,IA,1
123855,37,22,22,59.4594594594595,59.4594594594595,70.8571428571429,73.3684210526316,1,1,1,324,256,79.01,Initiated By School ,Unreachable ,1
123856,12,0,0,0,0,91.3846153846154,92.5405405405405,1,,0,156,142,91.03,,,0
123913,37,15,15,40.5405405405405,40.5405405405405,80,83.1351351351351,1,1,1,336,314,93.45,Initiated By School ,Unreachable ,1
124011,12,1,2,8.33333333333333,16.6666666666667,67.36,73.6216216216216,1,,0,153,150,98.04,,,0
124061,12,1,1,8.33333333333333,8.33333333333333,76.3076923076923,69.9459459459459,1,,0,156,145,92.95,,,0
124130,12,0,1,0,8.33333333333333,62.2857142857143,56.1052631578947,1,,0,147,122,82.99,,,0
124139,13,0,0,0,0,90.7142857142857,91.3684210526316,1,,0,160,140,87.5,,,0
124384,12,0,0,0,0,81.8571428571429,79.3684210526316,1,,0,160,151,94.38,,,0
124536,12,0,0,0,0,58.4,57.1891891891892,1,,0,153,137,89.54,,,0
124539,37,16,16,43.2432432432432,43.2432432432432,84.48,89.8378378378378,1,1,1,336,266,79.17,Others,IA,1
124539,37,16,16,43.2432432432432,43.2432432432432,84.48,89.8378378378378,1,1,1,336,266,79.17,Initiated By School ,Unreachable ,1
124733,12,1,1,8.33333333333333,8.33333333333333,52.5405405405405,57.0612244897959,1,,0,172,137,79.65,,,0
124793,12,0,0,0,0,92,88.2105263157895,1,,0,154,150,97.4,,,0
124902,12,1,0,8.33333333333333,0,97.4285714285714,97.3684210526316,1,,0,163,152,93.25,,,0
124932,12,0,0,0,0,66.4615384615385,68.7567567567568,1,,0,165,133,80.61,,,0
125020,12,0,0,0,0,58.4615384615385,63.36,1,,0,118,102,86.44,,,0
125170,13,0,0,0,0,93.2307692307692,93.7297297297297,1,,0,166,154,92.77,,,0
125468,12,1,1,8.33333333333333,8.33333333333333,69.625,76,1,,0,144,127,88.19,,,0
125584,12,0,0,0,0,66.4615384615385,62.3783783783784,1,,0,156,139,89.1,,,0
125585,12,2,3,16.6666666666667,25,67.1351351351351,72.5714285714286,1,,0,166,142,85.54,,,0
126021,12,1,2,8.33333333333333,16.6666666666667,94.7692307692308,92.2162162162162,1,,0,171,162,94.74,,,0
126048,12,0,0,0,0,71.3846153846154,66.4864864864865,1,,0,165,127,76.97,,,0
126084,12,2,3,16.6666666666667,25,94.0540540540541,93.7959183673469,1,,0,154,127,82.47,,,0
126209,37,5,8,13.5135135135135,21.6216216216216,66.4285714285714,63.1724137931034,1,1,1,324,270,83.33,Initiated By School ,Unreachable ,1
126341,12,0,0,0,0,74.2857142857143,69.2631578947368,1,,0,162,146,90.12,,,0
126415,12,2,2,16.6666666666667,16.6666666666667,82.1,84.1,1,,0,166,131,78.92,,,0
126724,12,0,0,0,0,93.5714285714286,91.5789473684211,1,,0,163,146,89.57,,,0
126838,12,0,0,0,0,55.8571428571429,53.7894736842105,1,,0,160,150,93.75,,,0
126839,12,0,0,0,0,87.5714285714286,85.6842105263158,1,,0,160,140,87.5,,,0
126847,12,0,0,0,0,90.5714285714286,94.421052631579,1,,0,151,134,88.74,,,0
126919,12,0,0,0,0,77.4285714285714,80.9473684210526,1,,0,151,135,89.4,,,0
127055,12,0,0,0,0,89.7142857142857,89.0526315789474,1,,0,151,138,91.39,,,0
127120,12,1,3,8.33333333333333,25,73.7142857142857,70.6315789473684,1,,0,154,133,86.36,,,0
127235,12,0,0,0,0,62.88,64.4324324324324,1,,0,168,166,98.81,,,0
127597,12,0,0,0,0,78.24,72.4324324324324,1,,0,164,153,93.29,,,0
127754,12,3,3,25,25,59.6923076923077,64,1,,0,166,130,78.31,,,0
127860,12,3,3,25,25,44.3076923076923,53.945945945946,1,,0,156,145,92.95,,,0
127903,12,1,2,8.33333333333333,16.6666666666667,85.2307692307692,88.2162162162162,1,,0,171,138,80.7,,,0
127950,12,3,5,25,41.6666666666667,69.6216216216216,71.5918367346939,1,,0,155,154,99.35,,,0
128114,12,0,0,0,0,94.4615384615385,92.6486486486487,1,,0,171,151,88.3,,,0
128181,12,0,0,0,0,77.5384615384615,76.8648648648649,1,,0,165,153,92.73,,,0
128342,12,0,0,0,0,72.9230769230769,72.1081081081081,1,,0,156,147,94.23,,,0
128430,12,1,2,8.33333333333333,16.6666666666667,76.64,77.1891891891892,1,,0,164,120,73.17,,,0
128840,12,0,0,0,0,78.7692307692308,80.4324324324324,1,,0,163,155,95.09,,,0
128862,12,0,0,0,0,89.4285714285714,87.3684210526316,1,,0,169,151,89.35,,,0
128910,37,19,28,51.3513513513514,75.6756756756757,62.6666666666667,64.7777777777778,1,1,1,324,260,80.25,Others,IA,1
128910,37,19,28,51.3513513513514,75.6756756756757,62.6666666666667,64.7777777777778,1,1,1,324,260,80.25,Initiated By School ,Unreachable ,1
128910,37,19,28,51.3513513513514,75.6756756756757,62.6666666666667,64.7777777777778,1,1,1,324,260,80.25,Initiated By School ,Unreachable ,1
128910,37,19,28,51.3513513513514,75.6756756756757,62.6666666666667,64.7777777777778,1,1,1,324,260,80.25,Initiated By School ,Unreachable ,1
129014,11,0,0,0,0,90.24,93.8378378378378,1,,0,168,156,92.86,,,0
129179,38,14,17,36.8421052631579,44.7368421052632,65.8,69.2413793103448,1,1,1,342,270,78.95,Others,IA,1
129255,12,0,0,0,0,80.9230769230769,76.1081081081081,1,,0,165,152,92.12,,,0
129367,12,0,0,0,0,90.8571428571429,85.8947368421053,1,,0,147,127,86.39,,,0
